supplier,scenario,split,unit,cohort,model,rows,skus,actual_total_qty,prediction_total_qty,mae_qty,mean_error_qty,wape_percent,bias_percent,zero_actual_rows,zero_actual_mae_qty,short_history_rows,macro_sku_wape_percent,macro_sku_wape_skus
IEK,operational_zero_assumption,validation,упак,available,current,534,89,16727.00000000,16586.29000000,20.42170974,-0.26350187,65.19515155,-0.84121480,289,1.01298339,0,138.71161486,63
IEK,operational_zero_assumption,validation,упак,available,last_month,534,89,16727.00000000,17147.00000000,19.32958801,0.78651685,61.70861481,2.51091050,289,1.56055363,0,149.91448392,63
IEK,operational_zero_assumption,validation,упак,available,same_month_last_year,534,89,16727.00000000,25801.00000000,27.01498127,16.99250936,86.24379745,54.24762360,289,2.56747405,0,201.96874645,63
IEK,operational_zero_assumption,validation,упак,paired_last_month,current,534,89,16727.00000000,16586.29000000,20.42170974,-0.26350187,65.19515155,-0.84121480,289,1.01298339,0,138.71161486,63
IEK,operational_zero_assumption,validation,упак,paired_last_month,last_month,534,89,16727.00000000,17147.00000000,19.32958801,0.78651685,61.70861481,2.51091050,289,1.56055363,0,149.91448392,63
IEK,operational_zero_assumption,validation,упак,paired_same_month_last_year,current,534,89,16727.00000000,16586.29000000,20.42170974,-0.26350187,65.19515155,-0.84121480,289,1.01298339,0,138.71161486,63
IEK,operational_zero_assumption,validation,упак,paired_same_month_last_year,same_month_last_year,534,89,16727.00000000,25801.00000000,27.01498127,16.99250936,86.24379745,54.24762360,289,2.56747405,0,201.96874645,63
IEK,operational_zero_assumption,validation,упак,common_all_models,current,534,89,16727.00000000,16586.29000000,20.42170974,-0.26350187,65.19515155,-0.84121480,289,1.01298339,0,138.71161486,63
IEK,operational_zero_assumption,validation,упак,common_all_models,last_month,534,89,16727.00000000,17147.00000000,19.32958801,0.78651685,61.70861481,2.51091050,289,1.56055363,0,149.91448392,63
IEK,operational_zero_assumption,validation,упак,common_all_models,same_month_last_year,534,89,16727.00000000,25801.00000000,27.01498127,16.99250936,86.24379745,54.24762360,289,2.56747405,0,201.96874645,63
IEK,operational_zero_assumption,validation,шт,available,current,13374,2229,665669.00000000,644784.68150000,25.54885299,-1.56156113,51.33036988,-3.13734281,7816,1.54126166,0,152.18960178,1503
IEK,operational_zero_assumption,validation,шт,available,last_month,13374,2229,665669.00000000,688397.00000000,23.84477344,1.69941678,47.90669237,3.41430951,7816,1.94741556,0,159.51734203,1503
IEK,operational_zero_assumption,validation,шт,available,same_month_last_year,13374,2229,665669.00000000,720864.00000000,26.71399731,4.12703754,53.67126905,8.29165847,7816,2.83124360,0,261.14968777,1503
IEK,operational_zero_assumption,validation,шт,paired_last_month,current,13374,2229,665669.00000000,644784.68150000,25.54885299,-1.56156113,51.33036988,-3.13734281,7816,1.54126166,0,152.18960178,1503
IEK,operational_zero_assumption,validation,шт,paired_last_month,last_month,13374,2229,665669.00000000,688397.00000000,23.84477344,1.69941678,47.90669237,3.41430951,7816,1.94741556,0,159.51734203,1503
IEK,operational_zero_assumption,validation,шт,paired_same_month_last_year,current,13374,2229,665669.00000000,644784.68150000,25.54885299,-1.56156113,51.33036988,-3.13734281,7816,1.54126166,0,152.18960178,1503
IEK,operational_zero_assumption,validation,шт,paired_same_month_last_year,same_month_last_year,13374,2229,665669.00000000,720864.00000000,26.71399731,4.12703754,53.67126905,8.29165847,7816,2.83124360,0,261.14968777,1503
IEK,operational_zero_assumption,validation,шт,common_all_models,current,13374,2229,665669.00000000,644784.68150000,25.54885299,-1.56156113,51.33036988,-3.13734281,7816,1.54126166,0,152.18960178,1503
IEK,operational_zero_assumption,validation,шт,common_all_models,last_month,13374,2229,665669.00000000,688397.00000000,23.84477344,1.69941678,47.90669237,3.41430951,7816,1.94741556,0,159.51734203,1503
