sku,unit,target_month,predicted_qty,status,model,supplier_id
300200519_,шт,2026-09-01,45.529495950739886,forecast,decomposition,SYSTEME
300200520_,шт,2026-09-01,121.64045945514003,forecast,decomposition,SYSTEME
300200521_,шт,2026-09-01,7.0,forecast,decomposition,SYSTEME
300200522_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200523_,шт,2026-09-01,6.886520402031774,forecast,decomposition,SYSTEME
300200524_,шт,2026-09-01,3.0,forecast,decomposition,SYSTEME
300200525_,шт,2026-09-01,1.5,forecast,decomposition,SYSTEME
300200526_,шт,2026-09-01,19.493715130369804,forecast,decomposition,SYSTEME
300200527_,шт,2026-09-01,3.0,forecast,decomposition,SYSTEME
300200528_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200529_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200530_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
300200531_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200532_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200533_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200534_,шт,2026-09-01,3.0,forecast,decomposition,SYSTEME
300200535_,шт,2026-09-01,4.75,forecast,decomposition,SYSTEME
300200536_,шт,2026-09-01,77.37261581779369,forecast,decomposition,SYSTEME
300200537_,шт,2026-09-01,23.832203916569007,forecast,decomposition,SYSTEME
300200538_,шт,2026-09-01,10.747771267820156,forecast,decomposition,SYSTEME
300200539_,шт,2026-09-01,10.78930391967057,forecast,decomposition,SYSTEME
300200540_,шт,2026-09-01,2.5,forecast,decomposition,SYSTEME
300200541_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200542_,шт,2026-09-01,646.7585823249009,forecast,decomposition,SYSTEME
300200543_,шт,2026-09-01,64.27782904762815,forecast,decomposition,SYSTEME
300200544_,шт,2026-09-01,12.0,forecast,decomposition,SYSTEME
300200545_,шт,2026-09-01,17.176404527832663,forecast,decomposition,SYSTEME
300200546_,шт,2026-09-01,2.5,forecast,decomposition,SYSTEME
300200547_,шт,2026-09-01,12.328267002906728,forecast,decomposition,SYSTEME
300200548_,шт,2026-09-01,25.84170598342984,forecast,decomposition,SYSTEME
300200549_,шт,2026-09-01,23.080387478606863,forecast,decomposition,SYSTEME
300200550_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200551_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
300200552_,шт,2026-09-01,24.666666666666668,forecast,decomposition,SYSTEME
300200553_,шт,2026-09-01,42.886978166067834,forecast,decomposition,SYSTEME
300200554_,шт,2026-09-01,2.5,forecast,decomposition,SYSTEME
300200555_,шт,2026-09-01,21.5,forecast,decomposition,SYSTEME
300200556_,шт,2026-09-01,3.5867422741838597,forecast,decomposition,SYSTEME
300200557_,шт,2026-09-01,1.5,forecast,decomposition,SYSTEME
300200558_,шт,2026-09-01,346.4050713151636,forecast,decomposition,SYSTEME
300200559_,шт,2026-09-01,203.49910777070028,forecast,decomposition,SYSTEME
300200560_,шт,2026-09-01,73.60048197778399,forecast,decomposition,SYSTEME
300200561_,шт,2026-09-01,27.260855470266293,forecast,decomposition,SYSTEME
300200562_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
300200563_,шт,2026-09-01,34.925714279760065,forecast,decomposition,SYSTEME
300200564_,шт,2026-09-01,64.5313235550032,forecast,decomposition,SYSTEME
300200565_,шт,2026-09-01,13.333333333333334,forecast,decomposition,SYSTEME
300200566_,шт,2026-09-01,5.636363636363637,forecast,decomposition,SYSTEME
300200567_,шт,2026-09-01,8.0,forecast,decomposition,SYSTEME
300200568_,шт,2026-09-01,7.25,forecast,decomposition,SYSTEME
300200569_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200570_,шт,2026-09-01,1.5,forecast,decomposition,SYSTEME
300200571_,шт,2026-09-01,7.0,forecast,decomposition,SYSTEME
300200572_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200573_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200574_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
300200575_,шт,2026-09-01,5.0,forecast,decomposition,SYSTEME
300200576_,шт,2026-09-01,20.0,forecast,decomposition,SYSTEME
300200577_,шт,2026-09-01,3.6363636363636362,forecast,decomposition,SYSTEME
300200578_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200579_,шт,2026-09-01,44.512543144809726,forecast,decomposition,SYSTEME
300200580_,шт,2026-09-01,19.483220860855457,forecast,decomposition,SYSTEME
300200581_,шт,2026-09-01,5.206704483776599,forecast,decomposition,SYSTEME
300200582_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
300200583_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200584_,шт,2026-09-01,2.0,forecast,decomposition,SYSTEME
300200586_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200588_,шт,2026-09-01,70.07608936390159,forecast,decomposition,SYSTEME
300200589_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200590_,шт,2026-09-01,13.0,forecast,decomposition,SYSTEME
300200591_,шт,2026-09-01,5.333333333333333,forecast,decomposition,SYSTEME
300200592_,шт,2026-09-01,78.53768980631921,forecast,decomposition,SYSTEME
300200593_,шт,2026-09-01,86.26701871076955,forecast,decomposition,SYSTEME
300200594_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200595_,шт,2026-09-01,12.5,forecast,decomposition,SYSTEME
300200622_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200623_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200624_,шт,2026-09-01,67.0,forecast,decomposition,SYSTEME
300200627_,,2026-09-01,,insufficient_history,decomposition,SYSTEME
300200632_,шт,2026-09-01,68.5,forecast,decomposition,SYSTEME
