sku,month,sales_qty_raw,sales_status,unit,is_complete_month,target_qty,stock_qty_model,lag_1,lag_2,lag_3,lag_6,lag_12,opening_stock_lag_1,history_calendar_months,history_observed_months,mean_3,observations_3,mean_6,observations_6,std_6,missing_share_6,zero_share_6,month_number,days_in_month,history_sufficient,stock_qty_raw,stock_status
030300014_,2025-10-01,912.0,observed,шт,True,912.0,,241.0,361.0,601.0,191.0,201.0,,21,19,401.0,3.0,557.8,5.0,494.06598749559737,0.16666666666666663,0.0,10,31,True,1854.0,observed
030300014_,2025-11-01,324.0,observed,шт,True,324.0,,912.0,241.0,361.0,1395.0,142.0,,22,20,504.6666666666667,3.0,702.0,5.0,464.58368460375334,0.16666666666666663,0.0,11,30,True,942.0,observed
030300014_,2025-12-01,61.0,observed,шт,True,61.0,,324.0,912.0,241.0,,3.0,,23,21,492.3333333333333,3.0,487.8,5.0,272.29524417440683,0.16666666666666663,0.0,12,31,True,1346.0,observed
030300014_,2026-01-01,301.0,observed,шт,True,301.0,,61.0,324.0,912.0,601.0,,,24,22,432.3333333333333,3.0,416.6666666666667,6.0,299.4586226286806,0.0,0.0,1,31,True,1789.0,observed
030300014_,2026-02-01,506.0,observed,шт,True,506.0,,301.0,61.0,324.0,361.0,34.0,,25,23,228.66666666666666,3.0,366.6666666666667,6.0,287.3246711764699,0.0,0.0,2,28,True,1488.0,observed
030300014_,2026-03-01,260.0,observed,шт,True,260.0,,506.0,301.0,61.0,241.0,1814.0,,26,24,289.3333333333333,3.0,390.8333333333333,6.0,292.7985086482965,0.0,0.0,3,31,True,1094.0,observed
030300014_,2026-04-01,392.0,observed,шт,True,392.0,,260.0,506.0,301.0,912.0,191.0,,27,25,355.6666666666667,3.0,394.0,6.0,290.95085495664017,0.0,0.0,4,30,True,1618.0,observed
030300014_,2026-05-01,1.0,observed,шт,True,1.0,,392.0,260.0,506.0,324.0,1395.0,,28,26,386.0,3.0,307.3333333333333,6.0,148.23989566465082,0.0,0.0,5,31,True,1786.0,observed
030300014_,2026-06-01,295.0,observed,шт,True,295.0,,1.0,392.0,260.0,61.0,,,29,27,217.66666666666666,3.0,253.5,6.0,192.89867806700985,0.0,0.0,6,30,True,1841.0,observed
030300014_,2026-07-01,9.0,observed,шт,True,9.0,,295.0,1.0,392.0,301.0,601.0,,30,28,229.33333333333334,3.0,292.5,6.0,168.27923223024254,0.0,0.0,7,31,True,378.0,observed
030300014_,2026-08-01,5.0,observed,шт,True,5.0,,9.0,295.0,1.0,506.0,361.0,,31,29,101.66666666666667,3.0,243.83333333333334,6.0,203.8032547990011,0.0,0.0,8,31,True,1208.0,observed
030300014_,2026-09-01,186.0,observed,шт,False,,,5.0,9.0,295.0,260.0,241.0,,32,30,103.0,3.0,160.33333333333334,6.0,175.58777482121752,0.0,0.0,9,30,True,1203.0,observed
030300078_,2024-01-01,,blank,шт,True,,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,13.0,observed
030300078_,2024-02-01,,blank,шт,True,,,,,,,,,1,0,,0.0,,0.0,,1.0,,2,29,False,13.0,observed
030300078_,2024-03-01,,blank,шт,True,,,,,,,,,2,0,,0.0,,0.0,,1.0,,3,31,False,13.0,observed
030300078_,2024-04-01,2.0,observed,шт,True,2.0,,,,,,,,3,0,,0.0,,0.0,,1.0,,4,30,False,113.0,observed
030300078_,2024-05-01,3.0,observed,шт,True,3.0,,2.0,,,,,,4,1,2.0,1.0,2.0,1.0,,0.75,0.0,5,31,False,211.0,observed
030300078_,2024-06-01,59.0,observed,шт,True,59.0,,3.0,2.0,,,,,5,2,2.5,2.0,2.5,2.0,0.7071067811865476,0.6,0.0,6,30,False,208.0,observed
030300078_,2024-07-01,31.0,observed,шт,True,31.0,,59.0,3.0,2.0,,,,6,3,21.333333333333332,3.0,21.333333333333332,3.0,32.624121954978854,0.5,0.0,7,31,True,149.0,observed
030300078_,2024-08-01,,blank,шт,True,,,31.0,59.0,3.0,,,,7,4,31.0,3.0,23.75,4.0,27.07243370416976,0.33333333333333337,0.0,8,31,True,610.0,observed
030300078_,2024-09-01,30.0,observed,шт,True,30.0,,,31.0,59.0,,,,8,4,45.0,2.0,23.75,4.0,27.07243370416976,0.33333333333333337,0.0,9,30,True,610.0,observed
030300078_,2024-10-01,2.0,observed,шт,True,2.0,,30.0,,31.0,2.0,,,9,5,30.5,2.0,25.0,5.0,23.611437906235192,0.16666666666666663,0.0,10,31,True,580.0,observed
030300078_,2024-11-01,46.0,observed,шт,True,46.0,,2.0,30.0,,3.0,,,10,6,16.0,2.0,25.0,5.0,23.611437906235192,0.16666666666666663,0.0,11,30,True,578.0,observed
030300078_,2024-12-01,10.0,observed,шт,True,10.0,,46.0,2.0,30.0,59.0,,,11,7,26.0,3.0,33.6,5.0,21.314314438892943,0.16666666666666663,0.0,12,31,True,532.0,observed
030300078_,2025-01-01,1.0,observed,шт,True,1.0,,10.0,46.0,2.0,31.0,,,12,8,19.333333333333332,3.0,23.8,5.0,17.669182210843832,0.16666666666666663,0.0,1,31,True,525.0,observed
030300078_,2025-02-01,10.0,observed,шт,True,10.0,,1.0,10.0,46.0,,,,13,9,19.0,3.0,17.8,5.0,19.60102038160259,0.16666666666666663,0.0,2,28,True,524.0,observed
030300078_,2025-03-01,10.0,observed,шт,True,10.0,,10.0,1.0,10.0,30.0,,,14,10,7.0,3.0,16.5,6.0,17.818529681205465,0.0,0.0,3,31,True,514.0,observed
030300078_,2025-04-01,,blank,шт,True,,,10.0,10.0,1.0,2.0,2.0,,15,11,7.0,3.0,13.166666666666666,6.0,16.618263046018583,0.0,0.0,4,30,True,12.0,observed
030300078_,2025-05-01,,blank,шт,True,,,,10.0,10.0,46.0,3.0,,16,11,10.0,2.0,15.4,5.0,17.54422982065614,0.16666666666666663,0.0,5,31,True,12.0,observed
030300078_,2025-06-01,40.0,observed,шт,True,40.0,,,,10.0,10.0,59.0,,17,11,10.0,1.0,7.75,4.0,4.500000000000025,0.33333333333333337,0.0,6,30,True,112.0,observed
030300078_,2025-07-01,60.0,observed,шт,True,60.0,,40.0,,,1.0,31.0,,18,12,40.0,1.0,15.25,4.0,17.036725037400824,0.33333333333333337,0.0,7,31,True,72.0,observed
030300078_,2025-08-01,95.0,observed,шт,True,95.0,,60.0,40.0,,10.0,,,19,13,50.0,2.0,30.0,4.0,24.494897427831784,0.33333333333333337,0.0,8,31,True,112.0,observed
030300078_,2025-09-01,,blank,шт,True,,,95.0,60.0,40.0,10.0,30.0,,20,14,65.0,3.0,51.25,4.0,35.67795771434608,0.33333333333333337,0.0,9,30,True,17.0,observed
030300078_,2025-10-01,,blank,шт,True,,,,95.0,60.0,,2.0,,21,14,77.5,2.0,65.0,3.0,27.83882181415011,0.5,0.0,10,31,True,117.0,observed
030300078_,2025-11-01,1.0,observed,шт,True,1.0,,,,95.0,,46.0,,22,14,95.0,1.0,65.0,3.0,27.83882181415011,0.5,0.0,11,30,True,117.0,observed
030300078_,2025-12-01,,blank,шт,True,,,1.0,,,40.0,10.0,,23,15,1.0,1.0,49.0,4.0,39.25132694147634,0.33333333333333337,0.0,12,31,True,116.0,observed
030300078_,2026-01-01,,blank,шт,True,,,,1.0,,60.0,1.0,,24,15,1.0,1.0,52.0,3.0,47.50789408087881,0.5,0.0,1,31,True,111.0,observed
030300078_,2026-02-01,5.0,observed,шт,True,5.0,,,,1.0,95.0,10.0,,25,15,1.0,1.0,48.0,2.0,66.46803743153546,0.6666666666666667,0.0,2,28,True,111.0,observed
030300078_,2026-03-01,,blank,шт,True,,,5.0,,,,10.0,,26,16,5.0,1.0,3.0,2.0,2.8284271247461903,0.6666666666666667,0.0,3,31,True,106.0,observed
030300078_,2026-04-01,,blank,шт,True,,,,5.0,,,,,27,16,5.0,1.0,3.0,2.0,2.8284271247461903,0.6666666666666667,0.0,4,30,True,106.0,observed
030300078_,2026-05-01,,blank,шт,True,,,,,5.0,1.0,,,28,16,5.0,1.0,3.0,2.0,2.8284271247461903,0.6666666666666667,0.0,5,31,True,106.0,observed
030300078_,2026-06-01,,blank,шт,True,,,,,,,40.0,,29,16,,0.0,5.0,1.0,,0.8333333333333334,0.0,6,30,True,106.0,observed
030300078_,2026-07-01,5.0,observed,шт,True,5.0,,,,,,60.0,,30,16,,0.0,5.0,1.0,,0.8333333333333334,0.0,7,31,True,106.0,observed
030300078_,2026-08-01,5.0,observed,шт,True,5.0,,5.0,,,5.0,95.0,,31,17,5.0,1.0,5.0,2.0,0.0,0.6666666666666667,0.0,8,31,True,90.0,observed
030300078_,2026-09-01,2.0,observed,шт,False,,,5.0,5.0,,,,,32,18,5.0,2.0,5.0,2.0,0.0,0.6666666666666667,0.0,9,30,True,85.0,observed
130300026_,2024-01-01,,blank,шт,True,,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,105.0,observed
130300026_,2024-02-01,36.0,observed,шт,True,36.0,,,,,,,,1,0,,0.0,,0.0,,1.0,,2,29,False,805.0,observed
130300026_,2024-03-01,100.0,observed,шт,True,100.0,,36.0,,,,,,2,1,36.0,1.0,36.0,1.0,,0.5,0.0,3,31,False,18.0,observed
130300026_,2024-04-01,453.0,observed,шт,True,453.0,,100.0,36.0,,,,,3,2,68.0,2.0,68.0,2.0,45.254833995939045,0.33333333333333337,0.0,4,30,False,1458.0,observed
130300026_,2024-05-01,154.0,observed,шт,True,154.0,,453.0,100.0,36.0,,,,4,3,196.33333333333334,3.0,196.33333333333334,3.0,224.57144371743556,0.25,0.0,5,31,True,2409.0,observed
130300026_,2024-06-01,174.0,observed,шт,True,174.0,,154.0,453.0,100.0,,,,5,4,235.66666666666666,3.0,185.75,4.0,184.5794770101306,0.19999999999999996,0.0,6,30,True,4355.0,observed
130300026_,2024-07-01,1286.0,observed,шт,True,1286.0,,174.0,154.0,453.0,,,,6,5,260.3333333333333,3.0,183.4,5.0,159.93686254269213,0.16666666666666663,0.0,7,31,True,4461.0,observed
130300026_,2024-08-01,189.0,observed,шт,True,189.0,,1286.0,174.0,154.0,36.0,,,7,6,538.0,3.0,367.1666666666667,6.0,472.3187130176685,0.0,0.0,8,31,True,3048.0,observed
130300026_,2024-09-01,647.0,observed,шт,True,647.0,,189.0,1286.0,174.0,100.0,,,8,7,549.6666666666666,3.0,392.6666666666667,6.0,454.6636852297164,0.0,0.0,9,30,True,2897.0,observed
130300026_,2024-10-01,744.0,observed,шт,True,744.0,,647.0,189.0,1286.0,453.0,,,9,8,707.3333333333334,3.0,483.8333333333333,6.0,438.80720899578057,0.0,0.0,10,31,True,1813.0,observed
130300026_,2024-11-01,853.0,observed,шт,True,853.0,,744.0,647.0,189.0,154.0,,,10,9,526.6666666666666,3.0,532.3333333333334,6.0,450.6398414107065,0.0,0.0,11,30,True,1069.0,observed
130300026_,2024-12-01,423.0,observed,шт,True,423.0,,853.0,744.0,647.0,174.0,,,11,10,748.0,3.0,648.8333333333334,6.0,422.76206862331753,0.0,0.0,12,31,True,1475.0,observed
130300026_,2025-01-01,477.0,observed,шт,True,477.0,,423.0,853.0,744.0,1286.0,,,12,11,673.3333333333334,3.0,690.3333333333334,6.0,376.5207386939884,0.0,0.0,1,31,True,1192.0,observed
130300026_,2025-02-01,147.0,observed,шт,True,147.0,,477.0,423.0,853.0,189.0,36.0,,13,12,584.3333333333334,3.0,555.5,6.0,241.01929383350202,0.0,0.0,2,28,True,715.0,observed
130300026_,2025-03-01,153.0,observed,шт,True,153.0,,147.0,477.0,423.0,647.0,100.0,,14,13,349.0,3.0,548.5,6.0,254.05019189128748,0.0,0.0,3,31,True,2056.0,observed
130300026_,2025-04-01,57.0,observed,шт,True,57.0,,153.0,147.0,477.0,744.0,453.0,,15,14,259.0,3.0,466.1666666666667,6.0,292.831976851345,0.0,0.0,4,30,True,1923.0,observed
130300026_,2025-05-01,1010.0,observed,шт,True,1010.0,,57.0,153.0,147.0,853.0,154.0,,16,15,119.0,3.0,351.6666666666667,6.0,296.7548932480586,0.0,0.0,5,31,True,3966.0,observed
130300026_,2025-06-01,125.0,observed,шт,True,125.0,,1010.0,57.0,153.0,423.0,174.0,,17,16,406.6666666666667,3.0,377.8333333333333,6.0,351.64665029922674,0.0,0.0,6,30,True,2644.0,observed
130300026_,2025-07-01,239.0,observed,шт,True,239.0,,125.0,1010.0,57.0,477.0,1286.0,,18,17,397.3333333333333,3.0,328.1666666666667,6.0,364.79057919122124,0.0,0.0,7,31,True,2510.0,observed
130300026_,2025-08-01,920.0,observed,шт,True,920.0,,239.0,125.0,1010.0,147.0,189.0,,19,18,458.0,3.0,288.5,6.0,358.25116887457597,0.0,0.0,8,31,True,2551.0,observed
130300026_,2025-09-01,270.0,observed,шт,True,270.0,,920.0,239.0,125.0,153.0,647.0,,20,19,428.0,3.0,417.3333333333333,6.0,429.1622847672739,0.0,0.0,9,30,True,1496.0,observed
130300026_,2025-10-01,264.0,observed,шт,True,264.0,,270.0,920.0,239.0,57.0,744.0,,21,20,476.3333333333333,3.0,436.8333333333333,6.0,417.24209599064505,0.0,0.0,10,31,True,1946.0,observed
130300026_,2025-11-01,104.0,observed,шт,True,104.0,,264.0,270.0,920.0,1010.0,853.0,,22,21,484.6666666666667,3.0,471.3333333333333,6.0,387.01714001664925,0.0,0.0,11,30,True,1962.0,observed
130300026_,2025-12-01,949.0,observed,шт,True,949.0,,104.0,264.0,270.0,125.0,423.0,,23,22,212.66666666666666,3.0,320.3333333333333,6.0,302.28375190649376,0.0,0.0,12,31,True,1868.0,observed
130300026_,2026-01-01,147.0,observed,шт,True,147.0,,949.0,104.0,264.0,239.0,477.0,,24,23,439.0,3.0,457.6666666666667,6.0,374.37450055614994,0.0,0.0,1,31,True,939.0,observed
130300026_,2026-02-01,212.0,observed,шт,True,212.0,,147.0,949.0,104.0,920.0,147.0,,25,24,400.0,3.0,442.3333333333333,6.0,386.7995174074894,0.0,0.0,2,28,True,792.0,observed
130300026_,2026-03-01,,blank,шт,True,,,212.0,147.0,949.0,270.0,153.0,,26,25,436.0,3.0,324.3333333333333,6.0,312.8620569303134,0.0,0.0,3,31,True,1140.0,observed
130300026_,2026-04-01,75.0,observed,шт,True,75.0,,,212.0,147.0,264.0,57.0,,27,25,179.5,2.0,335.2,5.0,348.5221657226409,0.16666666666666663,0.0,4,30,True,1280.0,observed
130300026_,2026-05-01,765.0,observed,шт,True,765.0,,75.0,,212.0,104.0,1010.0,,28,26,143.5,2.0,297.4,5.0,367.8862595966313,0.16666666666666663,0.0,5,31,True,1387.0,observed
130300026_,2026-06-01,286.0,observed,шт,True,286.0,,765.0,75.0,,949.0,125.0,,29,27,420.0,2.0,429.6,5.0,398.5044541783693,0.16666666666666663,0.0,6,30,True,622.0,observed
130300026_,2026-07-01,450.0,observed,шт,True,450.0,,286.0,765.0,75.0,147.0,239.0,,30,28,375.3333333333333,3.0,297.0,5.0,273.01739871297576,0.16666666666666663,0.0,7,31,True,336.0,observed
130300026_,2026-08-01,479.0,observed,шт,True,479.0,,450.0,286.0,765.0,212.0,920.0,,31,29,500.3333333333333,3.0,357.6,5.0,264.9062098177391,0.16666666666666663,0.0,8,31,True,426.0,observed
130300026_,2026-09-01,5.0,observed,шт,False,,,479.0,450.0,286.0,,270.0,,32,30,405.0,3.0,411.0,5.0,254.94215030080852,0.16666666666666663,0.0,9,30,True,247.0,observed
130300027_,2024-01-01,351.0,observed,шт,True,351.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,580.0,observed
130300027_,2024-02-01,276.0,observed,шт,True,276.0,,351.0,,,,,,1,1,351.0,1.0,351.0,1.0,,0.0,0.0,2,29,False,229.0,observed
130300027_,2024-03-01,408.0,observed,шт,True,408.0,,276.0,351.0,,,,,2,2,313.5,2.0,313.5,2.0,53.033008588991066,0.0,0.0,3,31,False,869.0,observed
130300027_,2024-04-01,773.0,observed,шт,True,773.0,,408.0,276.0,351.0,,,,3,3,345.0,3.0,345.0,3.0,66.20422947214173,0.0,0.0,4,30,True,491.0,observed
130300027_,2024-05-01,225.0,observed,шт,True,225.0,,773.0,408.0,276.0,,,,4,4,485.6666666666667,3.0,452.0,4.0,220.72154403229422,0.0,0.0,5,31,True,3133.0,observed
130300027_,2024-06-01,1034.0,observed,шт,True,1034.0,,225.0,773.0,408.0,,,,5,5,468.6666666666667,3.0,406.6,5.0,216.435440720784,0.0,0.0,6,30,True,2908.0,observed
130300027_,2024-07-01,2931.0,observed,шт,True,2931.0,,1034.0,225.0,773.0,351.0,,,6,6,677.3333333333334,3.0,511.1666666666667,6.0,321.0616244066965,0.0,0.0,7,31,True,1750.0,observed
130300027_,2024-08-01,626.0,observed,шт,True,626.0,,2931.0,1034.0,225.0,276.0,,,7,7,1396.6666666666667,3.0,941.1666666666666,6.0,1023.32231807318,0.0,0.0,8,31,True,59.0,observed
130300027_,2024-09-01,580.0,observed,шт,True,580.0,,626.0,2931.0,1034.0,408.0,,,8,8,1530.3333333333333,3.0,999.5,6.0,987.1584979120628,0.0,0.0,9,30,True,1884.0,observed
130300027_,2024-10-01,661.0,observed,шт,True,661.0,,580.0,626.0,2931.0,773.0,,,9,9,1379.0,3.0,1028.1666666666667,6.0,968.8742780498751,0.0,0.0,10,31,True,2416.0,observed
130300027_,2024-11-01,697.0,observed,шт,True,697.0,,661.0,580.0,626.0,225.0,,,10,10,622.3333333333334,3.0,1009.5,6.0,975.8275974781611,0.0,0.0,11,30,True,1515.0,observed
130300027_,2024-12-01,61.0,observed,шт,True,61.0,,697.0,661.0,580.0,1034.0,,,11,11,646.0,3.0,1088.1666666666667,6.0,917.2003961330734,0.0,0.0,12,31,True,3407.0,observed
130300027_,2025-01-01,41.0,observed,шт,True,41.0,,61.0,697.0,661.0,2931.0,351.0,,12,12,473.0,3.0,926.0,6.0,1010.0130692223739,0.0,0.0,1,31,True,3906.0,observed
130300027_,2025-02-01,1245.0,observed,шт,True,1245.0,,41.0,61.0,697.0,626.0,276.0,,13,13,266.3333333333333,3.0,444.3333333333333,6.0,307.1857201542195,0.0,0.0,2,28,True,3865.0,observed
130300027_,2025-03-01,142.0,observed,шт,True,142.0,,1245.0,41.0,61.0,580.0,408.0,,14,14,449.0,3.0,547.5,6.0,450.7814326256127,0.0,0.0,3,31,True,2714.0,observed
130300027_,2025-04-01,305.0,observed,шт,True,305.0,,142.0,1245.0,41.0,661.0,773.0,,15,15,476.0,3.0,474.5,6.0,479.0447787002795,0.0,0.0,4,30,True,2592.0,observed
130300027_,2025-05-01,1024.0,observed,шт,True,1024.0,,305.0,142.0,1245.0,697.0,225.0,,16,16,564.0,3.0,415.1666666666667,6.0,473.3381103045332,0.0,0.0,5,31,True,6542.0,observed
130300027_,2025-06-01,185.0,observed,шт,True,185.0,,1024.0,305.0,142.0,61.0,1034.0,,17,17,490.3333333333333,3.0,469.6666666666667,6.0,527.9529019398099,0.0,0.0,6,30,True,5458.0,observed
130300027_,2025-07-01,494.0,observed,шт,True,494.0,,185.0,1024.0,305.0,41.0,2931.0,,18,18,504.6666666666667,3.0,490.3333333333333,6.0,510.9080804476148,0.0,0.0,7,31,True,5273.0,observed
130300027_,2025-08-01,849.0,observed,шт,True,849.0,,494.0,185.0,1024.0,1245.0,626.0,,19,19,567.6666666666666,3.0,565.8333333333334,6.0,462.3952493988951,0.0,0.0,8,31,True,5599.0,observed
130300027_,2025-09-01,1344.0,observed,шт,True,1344.0,,849.0,494.0,185.0,142.0,580.0,,20,20,509.3333333333333,3.0,499.8333333333333,6.0,363.82051435655245,0.0,0.0,9,30,True,3490.0,observed
130300027_,2025-10-01,1479.0,observed,шт,True,1479.0,,1344.0,849.0,494.0,305.0,661.0,,21,21,895.6666666666666,3.0,700.1666666666666,6.0,448.463785234289,0.0,0.0,10,31,True,2004.0,observed
130300027_,2025-11-01,420.0,observed,шт,True,420.0,,1479.0,1344.0,849.0,1024.0,697.0,,22,22,1224.0,3.0,895.8333333333334,6.0,495.239504347812,0.0,0.0,11,30,True,865.0,observed
130300027_,2025-12-01,176.0,observed,шт,True,176.0,,420.0,1479.0,1344.0,185.0,61.0,,23,23,1081.0,3.0,795.1666666666666,6.0,524.4995392435217,0.0,0.0,12,31,True,2545.0,observed
130300027_,2026-01-01,689.0,observed,шт,True,689.0,,176.0,420.0,1479.0,494.0,41.0,,24,24,691.6666666666666,3.0,793.6666666666666,6.0,526.6021901460973,0.0,0.0,1,31,True,2469.0,observed
130300027_,2026-02-01,207.0,observed,шт,True,207.0,,689.0,176.0,420.0,849.0,1245.0,,25,25,428.3333333333333,3.0,826.1666666666666,6.0,510.16993900725515,0.0,0.0,2,28,True,1675.0,observed
130300027_,2026-03-01,65.0,observed,шт,True,65.0,,207.0,689.0,176.0,1344.0,142.0,,26,26,357.3333333333333,3.0,719.1666666666666,6.0,568.4221729196236,0.0,0.0,3,31,True,2266.0,observed
130300027_,2026-04-01,94.0,observed,шт,True,94.0,,65.0,207.0,689.0,1479.0,305.0,,27,27,320.3333333333333,3.0,506.0,6.0,525.4323933675955,0.0,0.0,4,30,True,2621.0,observed
130300027_,2026-05-01,105.0,observed,шт,True,105.0,,94.0,65.0,207.0,420.0,1024.0,,28,28,122.0,3.0,275.1666666666667,6.0,238.2044639939944,0.0,0.0,5,31,True,2614.0,observed
130300027_,2026-06-01,2233.0,observed,шт,True,2233.0,,105.0,94.0,65.0,176.0,185.0,,29,29,88.0,3.0,222.66666666666666,6.0,234.58445529630933,0.0,0.0,6,30,True,2509.0,observed
130300027_,2026-07-01,275.0,observed,шт,True,275.0,,2233.0,105.0,94.0,689.0,494.0,,30,30,810.6666666666666,3.0,565.5,6.0,849.6120879554384,0.0,0.0,7,31,True,276.0,observed
130300027_,2026-08-01,9.0,observed,шт,True,9.0,,275.0,2233.0,105.0,207.0,849.0,,31,31,871.0,3.0,496.5,6.0,854.3740983901604,0.0,0.0,8,31,True,15.0,observed
130300027_,2026-09-01,,blank,шт,False,,,9.0,275.0,2233.0,65.0,1344.0,,32,32,839.0,3.0,463.5,6.0,871.4456380061808,0.0,0.0,9,30,True,6.0,observed
130300028_,2024-01-01,203.0,observed,шт,True,203.0,,,,,,,,0,0,,0.0,,0.0,,,,1,31,False,990.0,observed
130300028_,2024-02-01,591.0,observed,шт,True,591.0,,203.0,,,,,,1,1,203.0,1.0,203.0,1.0,,0.0,0.0,2,29,False,647.0,observed
130300028_,2024-03-01,50.0,observed,шт,True,50.0,,591.0,203.0,,,,,2,2,397.0,2.0,397.0,2.0,274.35743110038044,0.0,0.0,3,31,False,27.0,observed
130300028_,2024-04-01,186.0,observed,шт,True,186.0,,50.0,591.0,203.0,,,,3,3,281.3333333333333,3.0,281.3333333333333,3.0,278.87691430689154,0.0,0.0,4,30,True,167.0,observed
130300028_,2024-05-01,290.0,observed,шт,True,290.0,,186.0,50.0,591.0,,,,4,4,275.6666666666667,3.0,257.5,4.0,232.63777279997618,0.0,0.0,5,31,True,2527.0,observed
130300028_,2024-06-01,1550.0,observed,шт,True,1550.0,,290.0,186.0,50.0,,,,5,5,175.33333333333334,3.0,264.0,5.0,201.993811786401,0.0,0.0,6,30,True,2377.0,observed
130300028_,2024-07-01,-1310.0,negative,шт,True,,,1550.0,290.0,186.0,203.0,,,6,6,675.3333333333334,3.0,478.3333333333333,6.0,555.2241589364304,0.0,0.0,7,31,True,687.0,observed
130300028_,2024-08-01,95.0,observed,шт,True,95.0,,,1550.0,290.0,591.0,,,7,6,920.0,2.0,533.4,5.0,602.1626026249056,0.16666666666666663,0.0,8,31,True,1902.0,observed
130300028_,2024-09-01,656.0,observed,шт,True,656.0,,95.0,,1550.0,50.0,,,8,7,822.5,2.0,434.2,5.0,630.4904440195743,0.16666666666666663,0.0,9,30,True,2366.0,observed
130300028_,2024-10-01,322.0,observed,шт,True,322.0,,656.0,95.0,,186.0,,,9,8,375.5,2.0,555.4,5.0,595.4433642253475,0.16666666666666663,0.0,10,31,True,1693.0,observed
130300028_,2024-11-01,15.0,observed,шт,True,15.0,,322.0,656.0,95.0,290.0,,,10,9,357.6666666666667,3.0,582.6,5.0,577.1765761012829,0.16666666666666663,0.0,11,30,True,1231.0,observed
130300028_,2024-12-01,265.0,observed,шт,True,265.0,,15.0,322.0,656.0,1550.0,,,11,10,331.0,3.0,527.6,5.0,623.2899004476167,0.16666666666666663,0.0,12,31,True,1355.0,observed
130300028_,2025-01-01,84.0,observed,шт,True,84.0,,265.0,15.0,322.0,,203.0,,12,11,200.66666666666666,3.0,270.6,5.0,248.6831317158445,0.16666666666666663,0.0,1,31,True,1330.0,observed
130300028_,2025-02-01,295.0,observed,шт,True,295.0,,84.0,265.0,15.0,95.0,591.0,,13,12,121.33333333333333,3.0,239.5,6.0,235.1125262507297,0.0,0.0,2,28,True,1250.0,observed
130300028_,2025-03-01,32.0,observed,шт,True,32.0,,295.0,84.0,265.0,656.0,50.0,,14,13,214.66666666666666,3.0,272.8333333333333,6.0,224.46506780937366,0.0,0.0,3,31,True,935.0,observed
130300028_,2025-04-01,669.0,observed,шт,True,669.0,,32.0,295.0,84.0,322.0,186.0,,15,14,137.0,3.0,168.83333333333334,6.0,140.1505143289412,0.0,0.0,4,30,True,2163.0,observed
130300028_,2025-05-01,444.0,observed,шт,True,444.0,,669.0,32.0,295.0,15.0,290.0,,16,15,332.0,3.0,226.66666666666666,6.0,246.92077001877894,0.0,0.0,5,31,True,2058.0,observed
130300028_,2025-06-01,94.0,observed,шт,True,94.0,,444.0,669.0,32.0,265.0,1550.0,,17,16,381.6666666666667,3.0,298.1666666666667,6.0,235.20494609311834,0.0,0.0,6,30,True,934.0,observed
130300028_,2025-07-01,183.0,observed,шт,True,183.0,,94.0,444.0,669.0,84.0,,,18,17,402.3333333333333,3.0,269.6666666666667,6.0,249.92692265273607,0.0,0.0,7,31,True,840.0,observed
130300028_,2025-08-01,170.0,observed,шт,True,170.0,,183.0,94.0,444.0,295.0,95.0,,19,18,240.33333333333334,3.0,286.1666666666667,6.0,238.21118081791775,0.0,0.0,8,31,True,1077.0,observed
130300028_,2025-09-01,202.0,observed,шт,True,202.0,,170.0,183.0,94.0,32.0,656.0,,20,19,149.0,3.0,265.3333333333333,6.0,242.70778039994252,0.0,0.0,9,30,True,907.0,observed
130300028_,2025-10-01,,blank,шт,True,,,202.0,170.0,183.0,669.0,322.0,,21,20,185.0,3.0,293.6666666666667,6.0,218.76258059061817,0.0,0.0,10,31,True,1149.0,observed
130300028_,2025-11-01,100.0,observed,шт,True,100.0,,,202.0,170.0,444.0,15.0,,22,20,186.0,2.0,218.6,5.0,132.50962229211916,0.16666666666666663,0.0,11,30,True,1149.0,observed
130300028_,2025-12-01,524.0,observed,шт,True,524.0,,100.0,,202.0,94.0,265.0,,23,21,151.0,2.0,149.8,5.0,49.57015230963197,0.16666666666666663,0.0,12,31,True,909.0,observed
130300028_,2026-01-01,-253.0,negative,шт,True,,,524.0,100.0,,183.0,84.0,,24,22,312.0,2.0,235.8,5.0,165.6508376073,0.16666666666666663,0.0,1,31,True,415.0,observed
130300028_,2026-02-01,,blank,шт,True,,,,524.0,100.0,170.0,295.0,,25,22,312.0,2.0,249.0,4.0,188.21618775581823,0.33333333333333337,0.0,2,28,True,734.0,observed
130300028_,2026-03-01,95.0,observed,шт,True,95.0,,,,524.0,202.0,32.0,,26,22,524.0,1.0,275.3333333333333,3.0,221.30823150830483,0.5,0.0,3,31,True,1014.0,observed
130300028_,2026-04-01,182.0,observed,шт,True,182.0,,95.0,,,,669.0,,27,23,95.0,1.0,239.66666666666666,3.0,246.25258035873142,0.5,0.0,4,30,True,919.0,observed
130300028_,2026-05-01,30.0,observed,шт,True,30.0,,182.0,95.0,,100.0,444.0,,28,24,138.5,2.0,225.25,4.0,203.1212691965076,0.33333333333333337,0.0,5,31,True,1046.0,observed
